,Expected Temperature,Predicted Temperature
0,0.4416109743228983,0.449913067197805
1,0.6023566654941963,0.49730728511579714
2,0.4709813577207177,0.2821752547034201
3,0.193281744635948,0.13432648693414082
4,0.7230038691523039,0.5257855316956954
5,0.2835033415406262,0.1814471514814586
6,0.3939500527611678,0.2905752576598213
7,0.5156524797748857,0.3031246429162618
8,0.481357720717552,0.33235189072956967
9,0.4440731621526557,0.3067838042610411
10,0.3318677453394303,0.2660360553937573
11,0.7611677805135422,0.6723121756315809
12,0.12521983819908558,0.007874277685949426
13,0.38937741822019,0.21836819003316085
14,0.24815335912768208,0.1618349242480141
15,0.31885332395357024,0.23688968659699794
16,0.5307773478719663,0.4717236849088846
17,0.5325360534646502,0.4931402014335215
18,0.5163559620119592,0.4357218380747455
19,0.4806542384804785,0.31129977641626116
20,0.24885684136475558,0.0812395030845322
21,0.3244811818501583,0.18064832300539274
22,0.4468870911009498,0.4063608684475092
23,0.13014421385860006,0.1073581294809961
24,0.363876187126275,0.2723143870306825
25,0.30460780865283155,0.3927184349047795
26,0.6000703482237074,0.4759902114047793
27,0.5705240942666197,0.5336224298263192
28,0.4300035174111855,0.230419442974898
29,0.30161800914526915,0.1638013958261707
30,0.12346113260640176,0.0807764515999693
31,0.6484347520225116,0.4838385627944929
32,0.5098487513190294,0.5226628567557434
33,0.24586704185719319,0.2040448855217498
34,0.7595849454801267,0.6393257171738023
35,0.6056982061202956,0.27446687885464366
36,0.2527259936686599,0.13547268950219704
37,0.30548716144917354,0.21722146285064575
38,0.5119591980302498,0.46899094256798407
39,0.2073513893774182,0.15600851841115942
40,0.3003869152303905,0.2320801639612805
41,0.598487513190292,0.4204778846348683
42,0.6964474147027787,0.6324126943872721
43,0.5327119240239185,0.2785343537255631
44,0.8299331691874781,0.6025604597353084
45,0.21315511783327482,0.018113840596605014
46,0.3522687302145622,0.22503448331109643
47,0.23584241997889563,0.16738974996620448
48,0.41751670770313054,0.3698825077797261
49,0.8520928596552938,0.8389561109187645
50,0.30320084417868465,-0.005492527773394873
51,0.4665845937390082,0.27365496835228253
52,0.5163559620119592,0.48395726592368826
